Field, Oe	Frequency 1, GHz	Frequency 2, GHz	Bandwidth 1, GHz	Bandwidth 2, GHz
2973,00	3,6712821492	3,7022953520	0,0568361989	0,0686795416
2973,50	3,6726453755	3,7029699198	0,0428394612	0,0686114137
2974,00	3,6733505856	3,7021808901	0,0859362525	0,0704440388
2974,50	3,6750342757	3,7026814352	0,0483699618	0,0777472427
2975,00	3,6759905204	NaN	NaN	0,0755339926
2975,50	3,6774521708	3,6860930316	0,0359658374	0,0692144599
2976,00	3,6791325672	3,7010514051	0,0311767691	0,0734921741
2976,50	3,6798471388	3,7017905008	0,0350602865	0,0826711643
2977,00	NaN	3,7011129592	0,1272803532	NaN
2977,50	NaN	3,7008979413	0,0942991098	NaN
2978,00	NaN	NaN	NaN	NaN
2978,50	3,6845847373	NaN	NaN	0,0702540893
2979,00	3,6861605953	3,6949802986	0,0018758868	0,0766529066
2979,50	3,6867188756	NaN	NaN	0,0616844374
2980,00	NaN	3,6970199982	0,0013979040	NaN
2980,50	NaN	3,6986640377	0,0007192146	NaN
2981,00	NaN	3,6995107743	0,0007595643	NaN
2981,50	NaN	3,7008388944	0,0002931986	NaN
2982,00	3,6925101963	3,7018294795	0,0002530965	0,0936719062
2982,50	3,6939691516	3,7035517708	0,0002583993	0,0892917775
2983,00	3,6946681206	3,7042759965	0,0001401124	0,0849054972
2983,50	3,6960601374	3,7060231545	0,0002254466	0,0979043929
2984,00	3,6968627854	3,7067592272	0,0001549734	0,0980817757
2984,50	3,6981346616	3,7085359468	0,0002582114	0,0937406526
2985,00	3,6988168145	3,7101704259	0,0002799154	0,0920334478
2985,50	3,6994712834	3,7107854583	0,0002554094	0,1167384500
2986,00	3,7003001239	3,7124749079	0,0003896982	0,1169022060
2986,50	3,7007087790	3,7132405759	0,0003023634	0,1278999664
2987,00	3,7012455887	3,7148200204	0,0003246055	0,1287584257
2987,50	3,7017876792	3,7157104207	0,0002854705	0,1196846365
2988,00	3,7020995784	3,7172416090	0,0003343879	0,1121815530
2988,50	3,7022940408	3,7181079285	0,0004075859	0,1215638686
2989,00	3,7023190753	3,7196071381	0,0003117828	0,1014589023
2989,50	3,7026803632	3,7212232268	0,0003234028	0,1430712678
2990,00	3,7025620107	3,7223312496	0,0004767446	0,1281479984
2990,50	3,7029223797	3,7237615542	0,0004757001	0,1265083824
2991,00	3,7031247937	3,7244154419	0,0004469322	0,1335066707
2991,50	3,7031774954	3,7261166596	0,0002423490	0,1251160033
2992,00	3,7034070990	3,7269272157	0,0003199834	0,1383665862
2992,50	3,7034111138	3,7285296339	0,0003074336	0,1178080536
2993,00	3,7028595784	3,7301450996	0,0001729723	0,1258299395
2993,50	3,7033152821	3,7309221829	0,0003661080	0,1397280148
2994,00	3,7032236519	3,7326343751	0,0001937486	0,1229738517
2994,50	3,7032758130	3,7331874415	0,0001579172	0,1293546717
2995,00	3,7033784960	3,7350449600	0,0002216436	0,1236449185
2995,50	3,7033947814	3,7360482738	0,0002346140	0,1436594604
2996,00	3,7035633023	3,7377507768	0,0002699313	0,1340179077
2996,50	3,7034653782	3,7385703069	0,0001800816	0,1257055223
2997,00	3,7035500178	3,7402408142	0,0002433596	0,1294437908
2997,50	3,7034271070	3,7419236810	0,0002648983	0,1391431867
2998,00	3,7034079174	3,7427671920	0,0002848997	0,1478952643
2998,50	3,7035627800	3,7443733596	0,0003125472	0,1335925918
2999,00	3,7034756227	3,7453381996	0,0003395195	0,1214411785
2999,50	3,7036778196	3,7469234600	0,0003419283	0,1212778413
3000,00	3,7034961482	3,7478376503	0,0003328911	0,1265075643
3000,50	3,7035031627	3,7496745267	0,0003320460	0,1378300803
3001,00	3,7035704106	3,7506818792	0,0003594921	0,1360116528
3001,50	3,7035969745	3,7523035047	0,0003654019	0,1335732948
3002,00	3,7037251967	3,7536670063	0,0002359506	0,1219830167
3002,50	3,7035977428	3,7547352848	0,0003826085	0,1306888320
3003,00	3,7034833416	3,7563642374	0,0003713728	0,1381120411
3003,50	3,7036884096	3,7643524146	0,0939073495	0,1294336646
3004,00	3,7035330651	3,7666750746	0,0444743948	0,1336565932
3004,50	3,7036430353	3,7597395583	0,0004029040	0,1400761057
3005,00	3,7035354687	3,7613168661	0,0007618459	0,1425667670
3005,50	3,7036573664	3,7783715462	0,1501788738	0,1236235894
3006,00	3,7036125277	3,7783022101	0,1838296994	0,1398490085
3006,50	3,7036553302	3,7818684331	0,3116525139	0,1336772295
3007,00	3,7035902053	3,7762455690	0,2696558791	0,1286909961
3007,50	3,7037586262	3,7771379321	0,2135145805	0,1247698688
3008,00	3,7038797956	3,7788279205	0,2108337120	0,1422260032
3008,50	3,7037803484	3,7781162340	0,1428396204	0,1333781935
3009,00	3,7035861939	3,7716466519	0,0009202887	0,1283265440
3009,50	3,7036877732	3,7732657639	0,0009113373	0,1261176081
3010,00	3,7036197427	3,7750862493	0,0012108931	0,1323013837
3010,50	3,7037959439	3,7759781199	0,0012448589	0,1299803620
3011,00	3,7036652289	3,7776482082	0,0007364304	0,1265395623
3011,50	3,7034275070	3,7786405373	0,0007227451	0,1401716469
3012,00	3,7035755070	3,7802320633	0,0009932188	0,1413685014
3012,50	3,7037835277	3,7811510856	0,0010332523	0,1306618417
3013,00	3,7035554965	3,7827393242	0,0010049276	0,1316173108
3013,50	3,7037079704	3,7836021018	0,0013796440	0,1211656434
3014,00	3,7036034356	3,7852893884	0,0010284732	0,1263241406
3014,50	3,7037502124	3,7870307572	0,0013995237	0,1195119457
3015,00	3,7036690351	3,7879818644	0,0014003537	0,1233106436
3015,50	3,7037326090	3,7895555591	0,0014174027	0,1234782711
3016,00	3,7037619900	3,7907244976	0,0010935887	0,1227398053
3016,50	3,7037087986	3,7923078417	0,0010771381	0,1244715799
3017,00	3,7035772202	3,7932341554	0,0011034558	0,1234361833
3017,50	3,7036418767	3,7948686686	0,0015552242	0,1248248288
3018,00	3,7036769853	3,7958802769	0,0015430702	0,1287053503
3018,50	3,7035817172	3,7974597472	0,0015195931	0,1232201124
3019,00	3,7037202073	3,7990826252	0,0015504102	0,1547935926
3019,50	3,7037225200	3,8001674180	0,0011786543	0,1320561903
3020,00	3,7038240769	3,8016187555	0,0015971580	0,1188014183
3020,50	3,7039292455	3,8028483875	0,0016596750	0,1283933634
3021,00	3,7036883957	3,8044009526	0,0016195421	0,1195777903
3021,50	3,7036114973	3,8053152840	0,0011898751	0,1242040311
3022,00	3,7036448816	3,8072252567	0,0011905708	0,1246425685
3022,50	3,7035554244	3,8268514124	0,4415791597	0,1355835850
3023,00	3,7034762518	3,8095333136	0,0016244581	0,1230374402
3023,50	3,7036404736	3,8114175939	0,0016344660	0,1181932577
3024,00	3,7037413392	3,8120518544	0,0016250505	0,1209822686
3024,50	3,7035560231	3,8138998126	0,0016812036	0,1269489079
3025,00	3,7036654866	3,8148826501	0,0016974584	0,1201102105
3025,50	3,7036981895	3,8166596571	0,0012789537	0,1218560803
3026,00	3,7036402563	3,8326370326	0,2540735510	0,1182643116
3026,50	3,7035692762	3,8190669711	0,0009121065	0,1230785297
3027,00	3,7038127370	3,8200514242	0,0009046048	0,1213596915
3027,50	3,7037712311	3,8217258565	0,0012585666	0,1286139607
3028,00	3,7036584934	3,8233483802	0,0012681978	0,1292011015
3028,50	3,7036764675	3,8244365818	0,0009502480	0,1227438922
3029,00	3,7037407417	3,8260372363	0,0009106550	0,1318002182
3029,50	3,7038211525	3,8361527936	0,4801938077	0,1201268964
3030,00	3,7037651755	3,8286962706	0,0012954629	0,1299828961
3030,50	3,7036216764	3,8295103034	0,0016919231	0,1214802775
3031,00	3,7037309773	3,8310895661	0,0017094214	0,1299088418
3031,50	3,7037791848	3,8320889218	0,0017081845	0,1229911153
3032,00	3,7037145017	3,8339549684	0,0017112002	0,1368617832
3032,50	3,7036928121	3,8356393901	0,0022705199	0,1308108275
3033,00	3,7036063680	3,8565839129	0,9677279312	0,1302883013
3033,50	3,7037454935	3,8382849145	0,0022081863	0,1265024611
3034,00	3,7036898074	3,8392242766	0,0022392536	0,1168132201
3034,50	3,7038324611	3,8407864181	0,0022382160	0,1358080341
3035,00	3,7035704694	3,8581097481	0,8650167345	0,1199059465
3035,50	3,7035238171	3,8565876264	0,3957793840	0,1305840944
3036,00	3,7036270844	3,8600738945	0,7028294666	0,1200996004
3036,50	3,7038323091	3,8597075624	0,1201757734	0,1221993167
3037,00	3,7038177539	3,8637697517	0,2067198811	0,1398288628
3037,50	3,7039496066	3,8621513576	0,2294256804	0,1300615143
3038,00	3,7036170147	3,8618560091	0,3881980712	0,1267665943
3038,50	3,7036987910	3,8614857359	0,5604744164	0,1312339092
3039,00	3,7036511662	3,8641598218	0,5027539836	0,1252244001
3039,50	3,7038551327	3,8635024166	0,5898293858	0,1286146144
3040,00	3,7037361414	3,8556040949	0,0010183541	0,1276667916
3040,50	3,7035773861	3,8565029407	0,0009841897	0,1271906970
3041,00	3,7038106974	3,8581029285	0,0010265246	0,1355580537
3041,50	3,7037673739	3,8600319471	0,0010101441	0,1349038549
3042,00	3,7038486358	3,8609783681	0,0010024794	0,1332504689
3042,50	3,7036537789	3,8739469608	0,3663202474	0,1299447991
3043,00	3,7036782866	3,8634783510	0,0018258608	0,1319642144
3043,50	3,7037624624	3,8789068300	0,4186077502	0,1320542371
3044,00	3,7035885475	3,8794764633	1,0261761372	0,1293878469
3044,50	3,7035577428	3,8677989561	0,0023801280	0,1146125960
3045,00	3,7037251283	3,8687328005	0,0023738715	0,1260920744
3045,50	3,7037218966	3,8702646589	0,0024059670	0,1348061525
3046,00	3,7037418172	3,8719878238	0,0030092892	0,1224643485
3046,50	3,7036888131	3,8730747313	0,0039211596	0,1208098345
3047,00	3,7037586257	3,8748181637	0,0032278963	0,1270507802
3047,50	3,7037620239	3,8843701638	0,6906402836	0,1222962441
3048,00	3,7037414247	3,8772745704	0,0023427032	0,1163172553
3048,50	3,7035207980	3,8790478464	0,0018017272	0,1289719730
3049,00	3,7036922180	3,8801280210	0,0014322006	0,1141072024
3049,50	3,7038136906	3,8817884050	0,0013492628	0,1236740348
3050,00	3,7035261269	3,8827329328	0,0013687440	0,1169238254
