====================================================================================================
ДАННЫЕ СОБСТВЕННЫХ МОД
====================================================================================================

    Поле (Э)     Mode1_Re     Mode1_Im     Mode2_Re     Mode2_Im      Rec+_Re      Rec+_Im      Rec-_Re      Rec-_Im
     2967.50     3.816655     0.154135     3.651439     0.099031     3.758161    -0.415679     3.611802    -0.067995
     2968.00     3.752791     0.154135     3.650645     0.098970     3.759544    -0.415870     3.611820    -0.067804
     2968.50     3.711266     0.154135     3.650128     0.098911     3.760925    -0.416061     3.611839    -0.067614
     2969.00     3.701517     0.154135     3.649675     0.098597     3.762304    -0.416250     3.611859    -0.067424
     2969.50     3.686989     0.154135     3.649123     0.098302     3.763683    -0.416438     3.611880    -0.067236
     2970.00     3.676161     0.139155     3.648894     0.097830     3.765061    -0.416626     3.611903    -0.067048
     2970.50     3.666491     0.128376     3.648508     0.097321     3.766437    -0.416813     3.611926    -0.066861
     2971.00     3.657748     0.110803     3.648323     0.096853     3.767813    -0.416999     3.611951    -0.066675
     2971.50     3.656251     0.106905     3.647867     0.096340     3.769187    -0.417184     3.611976    -0.066490
     2972.00     3.656251     0.091633     3.647741     0.095736     3.770561    -0.417368     3.612003    -0.066306
     2972.50     3.649922     0.084164     3.647398     0.094597     3.771933    -0.417552     3.612030    -0.066123
     2973.00     3.647977     0.068971     3.647391     0.093412     3.773304    -0.417734     3.612059    -0.065940
     2973.50     3.645184     0.062822     3.647254     0.093011     3.774675    -0.417916     3.612089    -0.065758
     2974.00     3.645184     0.055554     3.647083     0.091743     3.776044    -0.418097     3.612119    -0.065578
     2974.50     3.645184     0.041798     3.647015     0.090976     3.777413    -0.418277     3.612151    -0.065398
     2975.00     3.645184     0.041009     3.647015     0.089532     3.778780    -0.418456     3.612183    -0.065219
     2975.50     3.645184     0.039616     3.647015     0.088970     3.780147    -0.418634     3.612217    -0.065041
     2976.00     3.646396     0.037434     3.647015     0.087548     3.781513    -0.418811     3.612251    -0.064863
     2976.50     3.646746     0.035884     3.647015     0.085926     3.782877    -0.418987     3.612286    -0.064687
     2977.00     3.646821     0.035512     3.647015     0.085165     3.784241    -0.419163     3.612322    -0.064511
     2977.50     3.646821     0.035512     3.647055     0.083622     3.785604    -0.419338     3.612359    -0.064337
     2978.00     3.647749     0.035127     3.647107     0.082387     3.786966    -0.419511     3.612397    -0.064163
     2978.50     3.648435     0.034849     3.647268     0.081000     3.788327    -0.419684     3.612436    -0.063990
     2979.00     3.649193     0.033513     3.647418     0.080218     3.789688    -0.419856     3.612476    -0.063818
     2979.50     3.649820     0.033443     3.647757     0.078450     3.791047    -0.420027     3.612516    -0.063647
     2980.00     3.650304     0.033175     3.647789     0.077823     3.792406    -0.420197     3.612557    -0.063477
     2980.50     3.650890     0.032877     3.648077     0.076414     3.793764    -0.420367     3.612599    -0.063307
